Condition,Generation,First,Second,ID,Rating
Pair,1,p2-1-1,Y9011112-1-1,12,2
Pair,1,p2-1-1,Y9011112-1-1,15,2
Pair,1,p2-1-1,Y9011112-1-1,17,2
Pair,1,p2-1-1,Y9011112-1-1,19,2
Pair,1,p2-1-1,Y9011112-1-1,23,2
Pair,1,p2-1-1,Y9011112-1-1,26,4
Pair,1,p2-1-1,Y9011112-1-1,29,2
Pair,1,p3-1-1,p4-1-1,2,2
Pair,1,p3-1-1,p4-1-1,5,2
Pair,1,p3-1-1,p4-1-1,7,1
Pair,1,p3-1-1,p4-1-1,11,1
Pair,1,p3-1-1,p4-1-1,14,1
Pair,1,p3-1-1,p4-1-1,16,1
Pair,1,p3-1-1,p4-1-1,21,3
Pair,1,p3-1-1,p4-1-1,22,1
Pair,1,p3-1-1,p4-1-1,25,1
Pair,1,p3-1-1,p4-1-1,29,3
Pair,1,p3-1-1,p5-1-1,1,1
Pair,1,p3-1-1,p5-1-1,4,1
Pair,1,p3-1-1,p5-1-1,7,1
Pair,1,p3-1-1,p5-1-1,11,1
Pair,1,p3-1-1,p5-1-1,13,1
Pair,1,p3-1-1,p5-1-1,18,1
Pair,1,p3-1-1,p5-1-1,20,1
Pair,1,p3-1-1,p5-1-1,22,1
Pair,1,p3-1-1,p5-1-1,26,1
Pair,1,p3-1-1,p5-1-1,30,1
Pair,1,p3-1-1,p7-1-1,2,2
Pair,1,p3-1-1,p7-1-1,5,1
Pair,1,p3-1-1,p7-1-1,8,1
Pair,1,p3-1-1,p7-1-1,12,2
Pair,1,p3-1-1,p7-1-1,14,2
Pair,1,p3-1-1,p7-1-1,16,2
Pair,1,p3-1-1,p7-1-1,20,3
Pair,1,p3-1-1,p7-1-1,24,3
Pair,1,p3-1-1,p7-1-1,27,2
Pair,1,p3-1-1,p7-1-1,28,3
Pair,1,p3-1-1,p8-1-1,1,3
Pair,1,p3-1-1,p8-1-1,4,2
Pair,1,p3-1-1,p8-1-1,9,2
Pair,1,p3-1-1,p8-1-1,11,1
Pair,1,p3-1-1,p8-1-1,13,3
Pair,1,p3-1-1,p8-1-1,16,2
Pair,1,p3-1-1,p8-1-1,21,3
Pair,1,p3-1-1,p8-1-1,23,3
Pair,1,p3-1-1,p8-1-1,26,1
Pair,1,p3-1-1,p8-1-1,30,2
Pair,1,p3-1-1,p9-1-1,1,1
Pair,1,p3-1-1,p9-1-1,4,1
Pair,1,p3-1-1,p9-1-1,7,4
Pair,1,p3-1-1,p9-1-1,10,4
Pair,1,p3-1-1,p9-1-1,13,2
Pair,1,p3-1-1,p9-1-1,17,2
Pair,1,p3-1-1,p9-1-1,19,2
Pair,1,p3-1-1,p9-1-1,24,3
Pair,1,p3-1-1,p9-1-1,26,4
Pair,1,p3-1-1,p9-1-1,28,3
Pair,1,p3-1-1,p10-1-1,3,4
Pair,1,p3-1-1,p10-1-1,6,4
Pair,1,p3-1-1,p10-1-1,9,4
Pair,1,p3-1-1,p10-1-1,11,4
Pair,1,p3-1-1,p10-1-1,15,4
Pair,1,p3-1-1,p10-1-1,17,5
Pair,1,p3-1-1,p10-1-1,20,4
Pair,1,p3-1-1,p10-1-1,22,5
Pair,1,p3-1-1,p10-1-1,27,3
Pair,1,p3-1-1,p10-1-1,30,3
Pair,1,p3-1-1,PEX11-1-1,1,3
Pair,1,p3-1-1,PEX11-1-1,4,1
Pair,1,p3-1-1,PEX11-1-1,9,2
Pair,1,p3-1-1,PEX11-1-1,10,4
Pair,1,p3-1-1,PEX11-1-1,13,2
Pair,1,p3-1-1,PEX11-1-1,18,3
Pair,1,p3-1-1,PEX11-1-1,21,3
Pair,1,p3-1-1,PEX11-1-1,23,2
Pair,1,p3-1-1,PEX11-1-1,27,1
Pair,1,p3-1-1,PEX11-1-1,28,3
Pair,1,p3-1-1,Y9011112-1-1,3,3
Pair,1,p3-1-1,Y9011112-1-1,6,2
Pair,1,p3-1-1,Y9011112-1-1,8,2
Pair,1,p3-1-1,Y9011112-1-1,10,1
Pair,1,p3-1-1,Y9011112-1-1,15,1
Pair,1,p3-1-1,Y9011112-1-1,18,2
Pair,1,p3-1-1,Y9011112-1-1,19,2
Pair,1,p3-1-1,Y9011112-1-1,24,3
Pair,1,p3-1-1,Y9011112-1-1,27,1
Pair,1,p3-1-1,Y9011112-1-1,28,2
Pair,1,p4-1-1,p5-1-1,3,3
Pair,1,p4-1-1,p5-1-1,6,4
Pair,1,p4-1-1,p5-1-1,8,3
Pair,1,p4-1-1,p5-1-1,11,4
Pair,1,p4-1-1,p5-1-1,15,3
Pair,1,p4-1-1,p5-1-1,17,4
Pair,1,p4-1-1,p5-1-1,19,3
Pair,1,p4-1-1,p5-1-1,22,4
Pair,1,p4-1-1,p5-1-1,25,1
Pair,1,p4-1-1,p5-1-1,29,4
Pair,1,p4-1-1,p7-1-1,1,1
Pair,1,p4-1-1,p7-1-1,4,1
Pair,1,p4-1-1,p7-1-1,9,2
Pair,1,p4-1-1,p7-1-1,11,2
Pair,1,p4-1-1,p7-1-1,13,3
Pair,1,p4-1-1,p7-1-1,16,1
Pair,1,p4-1-1,p7-1-1,19,1
Pair,1,p4-1-1,p7-1-1,24,2
Pair,1,p4-1-1,p7-1-1,25,1
Pair,1,p4-1-1,p7-1-1,30,3
Pair,1,p4-1-1,p8-1-1,1,1
Pair,1,p4-1-1,p8-1-1,4,1
Pair,1,p4-1-1,p8-1-1,8,1
Pair,1,p4-1-1,p8-1-1,12,4
Pair,1,p4-1-1,p8-1-1,13,1
Pair,1,p4-1-1,p8-1-1,17,2
Pair,1,p4-1-1,p8-1-1,21,2
Pair,1,p4-1-1,p8-1-1,22,3
Pair,1,p4-1-1,p8-1-1,27,3
Pair,1,p4-1-1,p8-1-1,29,2
Pair,1,p4-1-1,p9-1-1,1,1
Pair,1,p4-1-1,p9-1-1,4,1
Pair,1,p4-1-1,p9-1-1,7,1
Pair,1,p4-1-1,p9-1-1,11,1
Pair,1,p4-1-1,p9-1-1,13,2
Pair,1,p4-1-1,p9-1-1,18,1
Pair,1,p4-1-1,p9-1-1,20,1
Pair,1,p4-1-1,p9-1-1,22,1
Pair,1,p4-1-1,p9-1-1,25,1
Pair,1,p4-1-1,p9-1-1,30,3
Pair,1,p4-1-1,p10-1-1,3,3
Pair,1,p4-1-1,p10-1-1,6,4
Pair,1,p4-1-1,p10-1-1,8,2
Pair,1,p4-1-1,p10-1-1,12,3
Pair,1,p4-1-1,p10-1-1,15,3
Pair,1,p4-1-1,p10-1-1,16,4
Pair,1,p4-1-1,p10-1-1,20,4
Pair,1,p4-1-1,p10-1-1,23,2
Pair,1,p4-1-1,p10-1-1,26,4
Pair,1,p4-1-1,p10-1-1,30,1
Pair,1,p4-1-1,PEX11-1-1,2,4
Pair,1,p4-1-1,PEX11-1-1,5,2
Pair,1,p4-1-1,PEX11-1-1,7,1
Pair,1,p4-1-1,PEX11-1-1,11,1
Pair,1,p4-1-1,PEX11-1-1,14,2
Pair,1,p4-1-1,PEX11-1-1,16,2
Pair,1,p4-1-1,PEX11-1-1,21,3
Pair,1,p4-1-1,PEX11-1-1,24,2
Pair,1,p4-1-1,PEX11-1-1,25,2
Pair,1,p4-1-1,PEX11-1-1,29,1
Pair,1,p4-1-1,Y9011112-1-1,1,3
Pair,1,p4-1-1,Y9011112-1-1,4,3
Pair,1,p4-1-1,Y9011112-1-1,8,1
Pair,1,p4-1-1,Y9011112-1-1,12,3
Pair,1,p4-1-1,Y9011112-1-1,13,2
Pair,1,p4-1-1,Y9011112-1-1,18,2
Pair,1,p4-1-1,Y9011112-1-1,20,1
Pair,1,p4-1-1,Y9011112-1-1,24,3
Pair,1,p4-1-1,Y9011112-1-1,26,1
Pair,1,p4-1-1,Y9011112-1-1,29,2
Pair,1,p5-1-1,p7-1-1,2,4
Pair,1,p5-1-1,p7-1-1,5,2
Pair,1,p5-1-1,p7-1-1,7,2
Pair,1,p5-1-1,p7-1-1,12,4
Pair,1,p5-1-1,p7-1-1,14,3
Pair,1,p5-1-1,p7-1-1,18,2
Pair,1,p5-1-1,p7-1-1,21,2
Pair,1,p5-1-1,p7-1-1,24,2
Pair,1,p5-1-1,p7-1-1,27,4
Pair,1,p5-1-1,p7-1-1,30,3
Pair,1,p5-1-1,p8-1-1,2,1
Pair,1,p5-1-1,p8-1-1,5,2
Pair,1,p5-1-1,p8-1-1,7,1
Pair,1,p5-1-1,p8-1-1,10,1
Pair,1,p5-1-1,p8-1-1,14,1
Pair,1,p5-1-1,p8-1-1,16,2
Pair,1,p5-1-1,p8-1-1,20,2
Pair,1,p5-1-1,p8-1-1,23,1
Pair,1,p5-1-1,p8-1-1,25,1
Pair,1,p5-1-1,p8-1-1,28,2
Pair,1,p5-1-1,p9-1-1,2,1
Pair,1,p5-1-1,p9-1-1,5,1
Pair,1,p5-1-1,p9-1-1,8,1
Pair,1,p5-1-1,p9-1-1,10,1
Pair,1,p5-1-1,p9-1-1,14,1
Pair,1,p5-1-1,p9-1-1,17,1
Pair,1,p5-1-1,p9-1-1,21,1
Pair,1,p5-1-1,p9-1-1,23,1
Pair,1,p5-1-1,p9-1-1,26,1
Pair,1,p5-1-1,p9-1-1,30,1
Pair,1,p5-1-1,p10-1-1,3,5
Pair,1,p5-1-1,p10-1-1,6,5
Pair,1,p5-1-1,p10-1-1,7,4
Pair,1,p5-1-1,p10-1-1,12,4
Pair,1,p5-1-1,p10-1-1,15,5
Pair,1,p5-1-1,p10-1-1,18,4
Pair,1,p5-1-1,p10-1-1,19,4
Pair,1,p5-1-1,p10-1-1,23,4
Pair,1,p5-1-1,p10-1-1,27,4
Pair,1,p5-1-1,p10-1-1,29,5
Pair,1,p5-1-1,PEX11-1-1,2,4
Pair,1,p5-1-1,PEX11-1-1,5,3
Pair,1,p5-1-1,PEX11-1-1,7,2
Pair,1,p5-1-1,PEX11-1-1,10,4
Pair,1,p5-1-1,PEX11-1-1,14,2
Pair,1,p5-1-1,PEX11-1-1,17,3
Pair,1,p5-1-1,PEX11-1-1,19,2
Pair,1,p5-1-1,PEX11-1-1,22,3
Pair,1,p5-1-1,PEX11-1-1,26,4
Pair,1,p5-1-1,PEX11-1-1,29,4
Pair,1,p5-1-1,Y9011112-1-1,1,1
Pair,1,p5-1-1,Y9011112-1-1,4,3
Pair,1,p5-1-1,Y9011112-1-1,8,2
Pair,1,p5-1-1,Y9011112-1-1,12,3
Pair,1,p5-1-1,Y9011112-1-1,13,2
Pair,1,p5-1-1,Y9011112-1-1,18,2
Pair,1,p5-1-1,Y9011112-1-1,21,1
Pair,1,p5-1-1,Y9011112-1-1,23,1
Pair,1,p5-1-1,Y9011112-1-1,25,1
Pair,1,p5-1-1,Y9011112-1-1,28,5
Pair,1,p7-1-1,p8-1-1,1,1
Pair,1,p7-1-1,p8-1-1,4,1
Pair,1,p7-1-1,p8-1-1,8,1
Pair,1,p7-1-1,p8-1-1,10,1
Pair,1,p7-1-1,p8-1-1,13,1
Pair,1,p7-1-1,p8-1-1,18,2
Pair,1,p7-1-1,p8-1-1,20,1
Pair,1,p7-1-1,p8-1-1,22,1
Pair,1,p7-1-1,p8-1-1,26,1
Pair,1,p7-1-1,p8-1-1,30,2
Pair,1,p7-1-1,p9-1-1,3,1
Pair,1,p7-1-1,p9-1-1,6,2
Pair,1,p7-1-1,p9-1-1,9,3
Pair,1,p7-1-1,p9-1-1,10,1
Pair,1,p7-1-1,p9-1-1,15,3
Pair,1,p7-1-1,p9-1-1,17,2
Pair,1,p7-1-1,p9-1-1,19,1
Pair,1,p7-1-1,p9-1-1,22,2
Pair,1,p7-1-1,p9-1-1,27,1
Pair,1,p7-1-1,p9-1-1,28,2
Pair,1,p7-1-1,p10-1-1,2,4
Pair,1,p7-1-1,p10-1-1,5,3
Pair,1,p7-1-1,p10-1-1,8,2
Pair,1,p7-1-1,p10-1-1,11,2
Pair,1,p7-1-1,p10-1-1,14,3
Pair,1,p7-1-1,p10-1-1,17,4
Pair,1,p7-1-1,p10-1-1,20,2
Pair,1,p7-1-1,p10-1-1,22,2
Pair,1,p7-1-1,p10-1-1,25,3
Pair,1,p7-1-1,p10-1-1,29,4
Pair,1,p7-1-1,PEX11-1-1,1,4
Pair,1,p7-1-1,PEX11-1-1,4,5
Pair,1,p7-1-1,PEX11-1-1,8,4
Pair,1,p7-1-1,PEX11-1-1,11,4
Pair,1,p7-1-1,PEX11-1-1,13,4
Pair,1,p7-1-1,PEX11-1-1,16,5
Pair,1,p7-1-1,PEX11-1-1,21,5
Pair,1,p7-1-1,PEX11-1-1,23,5
Pair,1,p7-1-1,PEX11-1-1,25,5
Pair,1,p7-1-1,PEX11-1-1,28,5
Pair,1,p7-1-1,Y9011112-1-1,1,1
Pair,1,p7-1-1,Y9011112-1-1,4,1
Pair,1,p7-1-1,Y9011112-1-1,8,1
Pair,1,p7-1-1,Y9011112-1-1,12,2
Pair,1,p7-1-1,Y9011112-1-1,13,1
Pair,1,p7-1-1,Y9011112-1-1,18,2
Pair,1,p7-1-1,Y9011112-1-1,19,1
Pair,1,p7-1-1,Y9011112-1-1,23,2
Pair,1,p7-1-1,Y9011112-1-1,26,1
Pair,1,p7-1-1,Y9011112-1-1,30,2
Pair,1,p8-1-1,p9-1-1,1,1
Pair,1,p8-1-1,p9-1-1,4,2
Pair,1,p8-1-1,p9-1-1,7,1
Pair,1,p8-1-1,p9-1-1,11,1
Pair,1,p8-1-1,p9-1-1,13,3
Pair,1,p8-1-1,p9-1-1,16,1
Pair,1,p8-1-1,p9-1-1,19,1
Pair,1,p8-1-1,p9-1-1,24,2
Pair,1,p8-1-1,p9-1-1,27,1
Pair,1,p8-1-1,p9-1-1,28,1
Pair,1,p8-1-1,p10-1-1,3,1
Pair,1,p8-1-1,p10-1-1,6,2
Pair,1,p8-1-1,p10-1-1,9,1
Pair,1,p8-1-1,p10-1-1,12,2
Pair,1,p8-1-1,p10-1-1,15,2
Pair,1,p8-1-1,p10-1-1,16,2
Pair,1,p8-1-1,p10-1-1,19,1
Pair,1,p8-1-1,p10-1-1,24,2
Pair,1,p8-1-1,p10-1-1,26,1
Pair,1,p8-1-1,p10-1-1,29,1
Pair,1,p8-1-1,PEX11-1-1,2,1
Pair,1,p8-1-1,PEX11-1-1,5,3
Pair,1,p8-1-1,PEX11-1-1,8,1
Pair,1,p8-1-1,PEX11-1-1,11,1
Pair,1,p8-1-1,PEX11-1-1,14,1
Pair,1,p8-1-1,PEX11-1-1,18,2
Pair,1,p8-1-1,PEX11-1-1,21,1
Pair,1,p8-1-1,PEX11-1-1,22,2
Pair,1,p8-1-1,PEX11-1-1,27,1
Pair,1,p8-1-1,PEX11-1-1,29,2
Pair,1,p8-1-1,Y9011112-1-1,1,4
Pair,1,p8-1-1,Y9011112-1-1,4,3
Pair,1,p8-1-1,Y9011112-1-1,8,5
Pair,1,p8-1-1,Y9011112-1-1,11,2
Pair,1,p8-1-1,Y9011112-1-1,13,4
Pair,1,p8-1-1,Y9011112-1-1,16,4
Pair,1,p8-1-1,Y9011112-1-1,21,5
Pair,1,p8-1-1,Y9011112-1-1,23,1
Pair,1,p8-1-1,Y9011112-1-1,26,4
Pair,1,p8-1-1,Y9011112-1-1,29,5
Pair,1,p9-1-1,p10-1-1,3,1
Pair,1,p9-1-1,p10-1-1,6,1
Pair,1,p9-1-1,p10-1-1,8,1
Pair,1,p9-1-1,p10-1-1,10,1
Pair,1,p9-1-1,p10-1-1,15,1
Pair,1,p9-1-1,p10-1-1,18,1
Pair,1,p9-1-1,p10-1-1,21,1
Pair,1,p9-1-1,p10-1-1,24,1
Pair,1,p9-1-1,p10-1-1,27,1
Pair,1,p9-1-1,p10-1-1,30,1
Pair,1,p9-1-1,PEX11-1-1,3,1
Pair,1,p9-1-1,PEX11-1-1,6,2
Pair,1,p9-1-1,PEX11-1-1,9,2
Pair,1,p9-1-1,PEX11-1-1,10,1
Pair,1,p9-1-1,PEX11-1-1,15,3
Pair,1,p9-1-1,PEX11-1-1,17,1
Pair,1,p9-1-1,PEX11-1-1,20,1
Pair,1,p9-1-1,PEX11-1-1,23,2
Pair,1,p9-1-1,PEX11-1-1,27,1
Pair,1,p9-1-1,PEX11-1-1,30,1
Pair,1,p9-1-1,Y9011112-1-1,3,1
Pair,1,p9-1-1,Y9011112-1-1,6,1
Pair,1,p9-1-1,Y9011112-1-1,7,1
Pair,1,p9-1-1,Y9011112-1-1,12,1
Pair,1,p9-1-1,Y9011112-1-1,15,1
Pair,1,p9-1-1,Y9011112-1-1,17,1
Pair,1,p9-1-1,Y9011112-1-1,20,1
Pair,1,p9-1-1,Y9011112-1-1,23,1
Pair,1,p9-1-1,Y9011112-1-1,27,1
Pair,1,p9-1-1,Y9011112-1-1,30,1
Pair,1,p10-1-1,PEX11-1-1,1,1
Pair,1,p10-1-1,PEX11-1-1,4,1
Pair,1,p10-1-1,PEX11-1-1,7,3
Pair,1,p10-1-1,PEX11-1-1,10,4
Pair,1,p10-1-1,PEX11-1-1,13,3
Pair,1,p10-1-1,PEX11-1-1,17,2
Pair,1,p10-1-1,PEX11-1-1,19,2
Pair,1,p10-1-1,PEX11-1-1,22,2
Pair,1,p10-1-1,PEX11-1-1,25,2
Pair,1,p10-1-1,PEX11-1-1,29,2
Pair,1,p10-1-1,Y9011112-1-1,3,3
Pair,1,p10-1-1,Y9011112-1-1,6,2
Pair,1,p10-1-1,Y9011112-1-1,7,2
Pair,1,p10-1-1,Y9011112-1-1,11,2
Pair,1,p10-1-1,Y9011112-1-1,15,2
Pair,1,p10-1-1,Y9011112-1-1,18,2
Pair,1,p10-1-1,Y9011112-1-1,19,2
Pair,1,p10-1-1,Y9011112-1-1,24,2
Pair,1,p10-1-1,Y9011112-1-1,27,2
Pair,1,p10-1-1,Y9011112-1-1,28,2
Pair,1,PEX11-1-1,Y9011112-1-1,2,2
Pair,1,PEX11-1-1,Y9011112-1-1,5,2
Pair,1,PEX11-1-1,Y9011112-1-1,9,1
Pair,1,PEX11-1-1,Y9011112-1-1,10,1
Pair,1,PEX11-1-1,Y9011112-1-1,14,1
Pair,1,PEX11-1-1,Y9011112-1-1,17,1
Pair,1,PEX11-1-1,Y9011112-1-1,21,1
Pair,1,PEX11-1-1,Y9011112-1-1,22,1
Pair,1,PEX11-1-1,Y9011112-1-1,27,1
Pair,1,PEX11-1-1,Y9011112-1-1,28,5
Pair,2,p1-2-1,p2-2-1,3,5
Pair,2,p1-2-1,p2-2-1,6,5
Pair,2,p1-2-1,p2-2-1,8,3
Pair,2,p1-2-1,p2-2-1,11,4
Pair,2,p1-2-1,p2-2-1,15,4
Pair,2,p1-2-1,p2-2-1,17,4
Pair,2,p1-2-1,p2-2-1,20,4
Pair,2,p1-2-1,p2-2-1,22,5
Pair,2,p1-2-1,p2-2-1,27,3
